,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
118,2023-06-02,119.87248190666874,113.52026613742196,125.89247713251096,119.87248190666874,119.87248190666874,-0.19672714375913122,-0.19672714375913122,-0.19672714375913122,-0.19672714375913122,-0.19672714375913122,-0.19672714375913122,0.0,0.0,0.0,119.6757547629096
119,2023-06-05,120.87792655011008,114.28507532028405,126.34770189071772,120.87792655011008,120.87792655011008,-0.3953043153765896,-0.3953043153765896,-0.3953043153765896,-0.3953043153765896,-0.3953043153765896,-0.3953043153765896,0.0,0.0,0.0,120.48262223473348
120,2023-06-06,121.21307476459056,114.4534051765413,126.05791405447545,121.21307476459056,121.21307476459056,-0.523181197295938,-0.523181197295938,-0.523181197295938,-0.523181197295938,-0.523181197295938,-0.523181197295938,0.0,0.0,0.0,120.68989356729462
121,2023-06-07,121.54822282518735,115.11385995430493,126.98696914874692,121.54822282518735,121.54822282518735,-0.7511751080456985,-0.7511751080456985,-0.7511751080456985,-0.7511751080456985,-0.7511751080456985,-0.7511751080456985,0.0,0.0,0.0,120.79704771714165
122,2023-06-08,121.88337088578415,115.3743928132377,126.88398392326809,121.88337088578415,121.88337088578415,-0.6916482044733202,-0.6916482044733202,-0.6916482044733202,-0.6916482044733202,-0.6916482044733202,-0.6916482044733202,0.0,0.0,0.0,121.19172268131082
123,2023-06-09,122.21851894638094,115.63538245473102,127.69706590214476,122.21851894638094,122.21851894638094,-0.1967271437578141,-0.1967271437578141,-0.1967271437578141,-0.1967271437578141,-0.1967271437578141,-0.1967271437578141,0.0,0.0,0.0,122.02179180262313
124,2023-06-12,123.2239631281713,117.32876475293719,128.69196002901285,123.2239631281713,123.2239631281713,-0.39530431537693606,-0.39530431537693606,-0.39530431537693606,-0.39530431537693606,-0.39530431537693606,-0.39530431537693606,0.0,0.0,0.0,122.82865881279437
125,2023-06-13,123.55911118876811,116.63134320863686,128.8942538522268,123.55911118876811,123.55911118876811,-0.5231811972958218,-0.5231811972958218,-0.5231811972958218,-0.5231811972958218,-0.5231811972958218,-0.5231811972958218,0.0,0.0,0.0,123.03592999147229
126,2023-06-14,123.89425924936491,117.48448109154255,129.24958984196522,123.89425924936491,123.89425924936491,-0.7511751080456733,-0.7511751080456733,-0.7511751080456733,-0.7511751080456733,-0.7511751080456733,-0.7511751080456733,0.0,0.0,0.0,123.14308414131924
127,2023-06-15,124.2294073099617,117.61441003769627,129.2753356985625,124.2294073099617,124.2294073099617,-0.6916482044726101,-0.6916482044726101,-0.6916482044726101,-0.6916482044726101,-0.6916482044726101,-0.6916482044726101,0.0,0.0,0.0,123.53775910548909
128,2023-06-16,124.56455537055848,118.18532925534304,130.0182306169366,124.56455537055848,124.56455537055848,-0.19672714376216816,-0.19672714376216816,-0.19672714376216816,-0.19672714376216816,-0.19672714376216816,-0.19672714376216816,0.0,0.0,0.0,124.3678282267963
129,2023-06-20,125.84558724974738,119.5217589201777,131.4420218383224,125.84558724974738,125.84558724974738,-0.5231811972957057,-0.5231811972957057,-0.5231811972957057,-0.5231811972957057,-0.5231811972957057,-0.5231811972957057,0.0,0.0,0.0,125.32240605245168
130,2023-06-21,126.16584521954461,119.69741959635347,131.33516292866403,126.16584521954461,126.16584521954461,-0.7511751080461228,-0.7511751080461228,-0.7511751080461228,-0.7511751080461228,-0.7511751080461228,-0.7511751080461228,0.0,0.0,0.0,125.41467011149848
131,2023-06-22,126.48610318934182,119.69327757935798,131.65922971758224,126.48610318934182,126.48610318934182,-0.6916482044726732,-0.6916482044726732,-0.6916482044726732,-0.6916482044726732,-0.6916482044726732,-0.6916482044726732,0.0,0.0,0.0,125.79445498486915
132,2023-06-23,126.80636115913907,120.50360872917246,132.4416987084055,126.80636115913907,126.80636115913907,-0.19672714376211384,-0.19672714376211384,-0.19672714376211384,-0.19672714376211384,-0.19672714376211384,-0.19672714376211384,0.0,0.0,0.0,126.60963401537695
133,2023-06-26,127.76713506853073,121.28756629620035,133.10188521490338,127.76713506853073,127.76713506853073,-0.39530431537487987,-0.39530431537487987,-0.39530431537487987,-0.39530431537487987,-0.39530431537487987,-0.39530431537487987,0.0,0.0,0.0,127.37183075315585
134,2023-06-27,128.08739303832795,121.6063064179566,133.22732608155818,128.08739303832795,128.08739303832795,-0.5231811972960927,-0.5231811972960927,-0.5231811972960927,-0.5231811972960927,-0.5231811972960927,-0.5231811972960927,0.0,0.0,0.0,127.56421184103185
135,2023-06-28,128.40765100812519,121.92032707256197,134.1463278964604,128.40765100812519,128.40765100812519,-0.7511751080465724,-0.7511751080465724,-0.7511751080465724,-0.7511751080465724,-0.7511751080465724,-0.7511751080465724,0.0,0.0,0.0,127.65647590007862
136,2023-06-29,128.7279089779224,122.06523647113939,133.9676357692394,128.7279089779224,128.7279089779224,-0.6916482044729273,-0.6916482044729273,-0.6916482044729273,-0.6916482044729273,-0.6916482044729273,-0.6916482044729273,0.0,0.0,0.0,128.03626077344947
137,2023-06-30,128.96871330373398,122.969763394461,134.59349660117348,128.96871330373398,128.96871330373398,-0.1967271437595335,-0.1967271437595335,-0.1967271437595335,-0.1967271437595335,-0.1967271437595335,-0.1967271437595335,0.0,0.0,0.0,128.77198615997443
138,2023-07-03,129.69112628116866,123.25548448601806,134.92257100060107,129.69112628116866,129.69112628116866,-0.39530431537589716,-0.39530431537589716,-0.39530431537589716,-0.39530431537589716,-0.39530431537589716,-0.39530431537589716,0.0,0.0,0.0,129.29582196579275
139,2023-07-05,130.17273493279177,123.53131473236144,135.29005292051514,130.17273493279177,130.17273493279177,-0.751175108046547,-0.751175108046547,-0.751175108046547,-0.751175108046547,-0.751175108046547,-0.751175108046547,0.0,0.0,0.0,129.42155982474523
140,2023-07-06,130.41353925860335,124.15667983663896,135.95680677256402,130.41353925860335,130.41353925860335,-0.6916482044731815,-0.6916482044731815,-0.6916482044731815,-0.6916482044731815,-0.6916482044731815,-0.6916482044731815,0.0,0.0,0.0,129.72189105413017
141,2023-07-07,130.6543435844149,124.66697914851862,136.65485182181342,130.6543435844149,130.6543435844149,-0.19672714375947933,-0.19672714375947933,-0.19672714375947933,-0.19672714375947933,-0.19672714375947933,-0.19672714375947933,0.0,0.0,0.0,130.4576164406554
142,2023-07-10,131.37675656184956,124.9781574120981,136.7055331101137,131.37675656184956,131.37675656184956,-0.39530431537624366,-0.39530431537624366,-0.39530431537624366,-0.39530431537624366,-0.39530431537624366,-0.39530431537624366,0.0,0.0,0.0,130.9814522464733
143,2023-07-11,131.61756088766114,125.47494092658931,137.03213245927282,131.61756088766114,131.61756088766114,-0.5231811972958603,-0.5231811972958603,-0.5231811972958603,-0.5231811972958603,-0.5231811972958603,-0.5231811972958603,0.0,0.0,0.0,131.0943796903653
144,2023-07-12,131.85836521347267,125.59372899867158,137.1345076344981,131.85836521347267,131.85836521347267,-0.7511751080465218,-0.7511751080465218,-0.7511751080465218,-0.7511751080465218,-0.7511751080465218,-0.7511751080465218,0.0,0.0,0.0,131.10719010542616
